store,item,predicted_demand_7d,recommended_restock_qty
1,1,116,77
1,2,340,232
1,3,197,133
1,4,111,75
1,5,98,66
1,6,337,228
1,7,329,229
1,8,425,287
1,9,258,170
1,10,413,281
1,11,379,257
1,12,375,249
1,13,471,321
1,14,323,217
1,15,483,323
1,16,134,87
1,17,177,119
1,18,480,330
1,19,218,143
1,20,265,176
1,21,213,142
1,22,453,314
1,23,153,102
1,24,342,227
1,25,451,305
1,26,271,186
1,27,114,75
1,28,494,340
1,29,393,266
1,30,212,140
1,31,309,206
1,32,232,153
1,33,376,248
1,34,145,96
1,35,369,253
1,36,423,284
1,37,154,103
1,38,460,317
1,39,230,151
1,40,154,102
1,41,116,75
1,42,179,120
1,43,268,180
1,44,160,107
1,45,453,311
1,46,317,212
1,47,113,75
1,48,279,188
1,49,163,108
1,50,353,235
2,1,157,106
2,2,451,306
2,3,291,192
2,4,175,119
2,5,140,92
2,6,452,303
2,7,462,316
2,8,683,491
2,9,385,259
2,10,606,422
2,11,584,409
2,12,555,385
2,13,698,492
2,14,462,314
2,15,722,504
2,16,179,119
2,17,258,173
2,18,677,467
2,19,297,195
2,20,347,231
2,21,303,196
2,22,682,482
2,23,222,146
2,24,498,329
2,25,694,496
2,26,388,267
2,27,167,111
2,28,733,519
2,29,559,387
2,30,291,192
2,31,453,305
2,32,355,241
2,33,521,346
2,34,201,131
2,35,495,332
2,36,662,474
2,37,211,136
2,38,699,500
2,39,316,209
2,40,213,140
2,41,159,104
2,42,304,208
2,43,406,274
2,44,227,148
2,45,712,504
2,46,467,322
2,47,175,118
2,48,393,261
2,49,212,138
2,50,497,337
3,1,155,102
3,2,405,273
3,3,253,168
3,4,139,89
3,5,134,88
3,6,408,278
3,7,414,283
3,8,548,380
3,9,361,243
3,10,480,317
3,11,519,368
3,12,514,360
3,13,637,446
3,14,417,288
3,15,639,446
3,16,176,120
3,17,213,137
3,18,624,442
3,19,257,172
3,20,328,220
3,21,268,178
3,22,573,399
3,23,194,127
3,24,534,386
3,25,565,379
3,26,324,217
3,27,146,97
3,28,606,417
3,29,507,352
3,30,284,192
3,31,397,268
3,32,319,221
3,33,497,339
3,34,176,120
3,35,473,325
3,36,548,379
3,37,196,131
3,38,581,403
3,39,295,195
3,40,202,136
3,41,142,94
3,42,260,177
3,43,337,219
3,44,193,130
3,45,620,446
3,46,422,284
3,47,153,101
3,48,368,252
3,49,208,143
3,50,459,312
4,1,139,91
4,2,371,248
4,3,244,167
4,4,147,98
4,5,113,74
4,6,366,245
4,7,382,262
4,8,490,326
4,9,335,227
4,10,479,323
4,11,485,332
4,12,478,329
4,13,603,429
4,14,372,249
4,15,612,429
4,16,149,98
4,17,192,125
4,18,558,390
4,19,249,162
4,20,282,188
4,21,259,180
4,22,544,378
4,23,178,118
4,24,411,275
4,25,555,395
4,26,289,190
4,27,133,88
4,28,589,410
4,29,458,312
4,30,258,174
4,31,411,287
4,32,273,181
4,33,438,295
4,34,165,108
4,35,415,283
4,36,537,377
4,37,181,119
4,38,512,347
4,39,282,189
4,40,191,129
4,41,149,101
4,42,215,142
4,43,323,215
4,44,183,120
4,45,512,348
4,46,397,275
4,47,143,94
4,48,314,208
4,49,177,118
4,50,405,273
5,1,109,75
5,2,270,178
5,3,176,120
5,4,102,68
5,5,88,58
5,6,253,166
5,7,253,165
5,8,343,229
5,9,229,154
5,10,327,219
5,11,310,204
5,12,302,202
5,13,372,248
5,14,290,203
5,15,421,283
5,16,115,78
5,17,148,100
5,18,412,280
5,19,173,113
5,20,214,142
5,21,173,114
5,22,372,250
5,23,136,93
5,24,283,187
5,25,356,239
5,26,198,129
5,27,97,64
5,28,430,299
5,29,305,205
5,30,179,121
5,31,268,180
5,32,193,126
5,33,294,197
5,34,112,75
5,35,294,193
5,36,363,241
5,37,121,81
5,38,400,277
5,39,193,132
5,40,117,75
5,41,98,67
5,42,176,119
5,43,238,159
5,44,121,80
5,45,370,251
5,46,274,182
5,47,107,73
5,48,264,184
5,49,128,87
5,50,295,197
6,1,89,57
6,2,262,175
6,3,175,119
6,4,96,64
6,5,86,58
6,6,256,169
6,7,259,172
6,8,362,246
6,9,256,178
6,10,337,228
6,11,317,214
6,12,323,218
6,13,393,270
6,14,262,172
6,15,396,269
6,16,111,73
6,17,152,98
6,18,388,262
